ParentCode;Code;Name;Position;Description
"STO.SOG";"048";"STO.048 -  Bolongarostr. 73 (Russingerstraße 1-17, Bolongarostraße 71-75)";22;"WEZ Bolongarostr. 73 (Russingerstraße 1-17, Bolongarostraße 71-75), 65934 Frankfurt am Main"
"STO.SOG";"030";"STO.030 -  Homburger Landstrasse 690 - 694, Hugo-Sinzheimer-Straße 76";23;"WEZ Homburger Landstrasse 690 - 694, Hugo-Sinzheimer-Straße 76, 60437 Frankfurt am Main"
"STO.SOG";"144";"STO.144 -  Oetkerstr. 2-4 %";24;"Oetkerstr. 2-4, Hansteinstraße 24, 34121 Kassel"
"STO";"00000";"KUGU";173;"Beispiele"
"STO";"109";"STO.109 - Alte Frankfurter Allee 32";174;""
"";"SyV";"Systeno vorbereitet";12;"noch nicht gebaute Anlagen"
"SyV";"002";"STO.002 -  Dürerstraße 12 (2-18)";1;"WEZ Dürerstraße 12 (2-18), 34225 Baunatal"
"SyV";"040";"STO.040 -  Kurmainzer Straße 161";2;"WEZ Kurmainzer Straße 161, 65936 Frankfurt am Main"
"SyV";"049";"STO.049 -  Schloßborner Straße 71";3;"WEZ Schloßborner Straße 71, 60326 Frankfurt am Main"
"SyV";"056";"STO.056 -  Sigmund-Freud-Straße 82";4;"WEZ Sigmund-Freud-Straße 82, 60435 Frankfurt am Main"
"";"STO2";"Systeno 2";13;"Systeno Anlagen < 200 kW"
"STO2";"300";"STO.300 - Urseler Straße 6a (6a-6b)";1;"Urseler StraBe 6a (6a-6b), 61348, Bad Homburg"
"STO2";"302";"STO.302 - Breslauer Straße 13";2;"Breslauer Straße 13,61118 Bad Vilbel"
"STO2";"303";"STO.303 - Bodelschwinghstraße 1-5";3;"Bodelschwinghstraße 1-5,61118 Bad Vilbel"
"STO2";"304";"STO.304 - Breslauer Straße 11";4;"Breslauer Straße 11,61118 Bad Vilbel"
"STO2";"306";"STO.306 - Breslauer Straße 9";5;"Breslauer Straße 9 (7-9),61118 Bad Vilbel"
"STO2";"307";"STO.307 - Alte Frankfurter Straße 36";6;"Alte Frankfurter Straße 36,61118 Bad Vilbel"
"STO2";"310";"STO.310 - PauI-Gerhardt-Straße 7 %";7;"PauI-Gerhardt-Straße 7-11, 61118 Bad Vilbel"
"STO2";"322";"STO.322 - Marbachweg 288";8;"Marbachweg 288 (286-290), Frankfurt am Main 60320"
"STO2";"345";"STO.345 - Sigmund-Freud-Straße 51 +";9;"Sigmund-Freud-Straße 51 (49-53), 60435 Frankfurt am Main"
"STO2";"352";"STO.352 - Offenbacher Landstraße 275-279 +";10;"Offenbacher LandstraBe 275-279, Frankfurt am Main 60599"
"STO2";"403";"STO.403 - Breitscheidstraße (92-96)";11;"Breitscheidstraße (92-96), Kassel 34119"
"STO2";"408";"STO.408 - Hans-Bockler-Straße 22";12;"Hans-Bockler-StraBe 22 (22-26) (Gewerbe), Kassel 34121"
"STO2";"423";"STO.423 - Strindbergstraße 14, Sternbergstr. 17+19";13;"Strindbergstraße 14, Sternbergstr. 17+19, Kassel 34121"
"STO2";"453";"STO.453 - Im Wiesengrund 2";14;"Im Wiesengrund 2 (2+4), Kassel 34134"
"STO2";"454";"STO.454 - Im Wiesengrund 6 %";15;"Im Wiesengrund 6 (6+8), Kassel 34134"
"STO2";"455";"STO.455 - Im Wiesengrund 12";16;"Im Wiesengrund 12 (10+12), Kassel 34134"
